2026-03-16 15:35:34.696 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4b3eaf39, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d6879bf, org.springframework.security.web.context.SecurityContextPersistenceFilter@344cf00f, org.springframework.security.web.header.HeaderWriterFilter@1fe2c5ad, org.springframework.web.filter.CorsFilter@154208f2, org.springframework.security.web.authentication.logout.LogoutFilter@5608e254, com.example.learningplan.config.JwtAuthFilter@bae5e58, com.example.learningplan.config.OpLogFilter@4a490518, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1002f859, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67cd193d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@318a81a0, org.springframework.security.web.session.SessionManagementFilter@3f3a529f, org.springframework.security.web.access.ExceptionTranslationFilter@7af7c9aa, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2c955487]
2026-03-16 15:35:35.153 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-16 15:35:35.179 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-03-16 15:35:35.188 INFO  [main] c.e.l.LearningPlanApplication - Started LearningPlanApplication in 7.347 seconds (JVM running for 8.87)
2026-03-16 15:35:40.109 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-16 15:35:40.109 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-16 15:35:40.110 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-03-16 16:13:54.141 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-03-16 16:13:54.149 INFO  [main] c.e.l.LearningPlanApplication - Starting LearningPlanApplication using Java 1.8.0_151 on DESKTOP-MVT8DLU with PID 20928 (D:\workspace\learning-plan-management\backend\target\classes started by lvh in D:\workspace\learning-plan-management)
2026-03-16 16:13:54.151 INFO  [main] c.e.l.LearningPlanApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-16 16:13:55.387 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-16 16:13:55.497 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 98 ms. Found 11 JPA repository interfaces.
2026-03-16 16:13:56.837 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-16 16:13:56.846 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
